PUBLIC	STATE	NAME	PROVIDER_NO	STREET_ADDRESS	SUBURB	POSTCODE																																												
PRIVATE	VIC	CASEY DAY HOSPITAL	0044040F	1A/30-32 VERDUN DRIVE	NARRE WARREN	3805																																												
PUBLIC	VIC	CASEY EARLY PARENTING CENTRE	0032230J	114 NEWGRANGE BOULEVARD 	CLYDE NORTH	3978																																												
PUBLIC	VIC	CASEY HOSPITAL	0031960F	62-70 KANGAN DRIVE	BERWICK	3806																																												
PUBLIC	NSW	CASINO AND DISTRICT MEMORIAL HOSPITAL	0010920J	41 HOTHAM STREET	CASINO	2470																																												
PUBLIC	VIC	CASTERTON MEMORIAL HOSPITAL	0030200J	63-69 RUSSELL STREET	CASTERTON	3311																																												
PRIVATE	NSW	CASTLECRAG PRIVATE HOSPITAL	0015200A	150 EDINBURGH ROAD	CASTLECRAG	2068																																												
PUBLIC	VIC	CASTLEMAINE HEALTH	0031780J	142 CORNISH STREET	CASTLEMAINE	3450																																												
PUBLIC	VIC	CAULFIELD HOSPITAL	0031570X	260-294 KOOYONG ROAD	CAULFIELD	3162																																												
PUBLIC	SA	CEDUNA HOSPITAL	0060630F	3 EYRE HIGHWAY	CEDUNA	5690																																												
PRIVATE	NSW	CENTRAL COAST DAY HOSPITAL - ERINA	0017370K	"SUITE 1, 2 ILYA AVENUE"	ERINA	2250																																												
PRIVATE	SA	CENTRAL DAY SURGERY	0067220K	235 GREENHILL ROAD	DULWICH	5065																																												
PUBLIC	VIC	CENTRAL GIPPSLAND HEALTH SERVICE (MAFFRA)	0034620A	48 KENT STREET	MAFFRA	3860																																												
PUBLIC	VIC	CENTRAL GIPPSLAND HEALTH SERVICE (SALE)	0030480H	155 GUTHRIDGE PARADE	SALE	3850																																												
PUBLIC	VIC	CENTRAL HIGHLANDS RURAL HEALTH - CRESWICK	0030300F	1 NAPIER STREET	CRESWICK	3363																																												
PUBLIC	VIC	CENTRAL HIGHLANDS RURAL HEALTH - DAYLESFORD	0030320A	13 HOSPITAL STREET	DAYLESFORD	3460																																												
PUBLIC	VIC	CENTRAL HIGHLANDS RURAL HEALTH - KYNETON	0030600T	7-25 CAROLINE CHISHOLM DRIVE	KYNETON	3444																																												
PRIVATE	NSW	CENTRAL SYDNEY PRIVATE HOSPITAL	0999801A	"LEVEL 5, 401 SUSSEX STREET"	SYDNEY	2000																																												
PRIVATE	NSW	CENTRE FOR DIGESTIVE DISEASES	0656741F	"LEVEL 1, 229 GREAT NORTH ROAD"	FIVE DOCK	2046																																												
PUBLIC	NSW	CESSNOCK DISTRICT HOSPITAL	0010940F	24 VIEW STREET	CESSNOCK	2325																																												
PRIVATE	NSW	CHARLESTOWN PRIVATE HOSPITAL	0017400Y	"LEVEL 3, 250 PACIFIC HWY"	CHARLESTOWN	2290																																												
PUBLIC	QLD	CHARLEVILLE HOSPITAL	0050250K	72 KING STREET	CHARLEVILLE	4470																																												
PUBLIC	QLD	CHARTERS TOWERS HOSPITAL	0050260J	137-139 GILL STREET	CHARTERS TOWERS	4820																																												
PRIVATE	NSW	CHATSWOOD DAY SURGERY	0026880B	"LEVELS 3 & 4, 270 VICTORIA STREET"	CHATSWOOD	2067																																												
PRIVATE	NSW	CHATSWOOD PRIVATE HOSPITAL	0017520L	SUITE 1/38B ALBERT AVENUE	CHATSWOOD	2067																																												
PRIVATE	VIC	CHELSEA HEIGHTS DAY SURGERY AND ENDOSCOPY	0044090W	93 WELLS ROAD	CHELSEA HEIGHTS	3196																																												
PUBLIC	QLD	CHERBOURG HOSPITAL	0050270H	FISHER STREET	CHERBOURG	4605																																												
PRIVATE	QLD	CHERMSIDE DAY HOSPITAL	0057330Y	"SUITE 9, CHERMSIDE MEDICAL COMPLEX, 956 GYMPIE ROAD"	CHERMSIDE	4032																																												
PRIVATE	QLD	CHERMSIDE DIALYSIS CLINIC	0057290L	671 GYMPIE ROAD	CHERMSIDE	4032																																												
PRIVATE	VIC	CHESTERVILLE DAY HOSPITAL	0656851Y	28 CHESTERVILLE ROAD	CHELTENHAM	3192																																												
PUBLIC	QLD	CHILDERS MULTIPURPOSE HEALTH SERVICE	0050280F	44 BROADHURST STREET	CHILDERS	4660																																												
PUBLIC	QLD	CHINCHILLA HOSPITAL	0050300W	59 SLESSAR STREET	CHINCHILLA	4413																																												
PRIVATE	NSW	CHRIS O'BRIEN LIFEHOUSE	0027350Y	119-143 MISSENDEN ROAD	CAMPERDOWN	2050																																												
PRIVATE	NSW	CITY WEST SPECIALIST DAY HOSPITAL	0894301F	30 MONS ROAD	WESTMEAD	2145																																												
PUBLIC	SA	CLARE HOSPITAL	0060130B	47 FARRELL FLAT ROAD	CLARE	5453																																												
PUBLIC	QLD	CLERMONT MULTI-PURPOSE HEALTH SERVICE	0050310T	24 FRANCIS STREET	CLERMONT	4721																																												
PRIVATE	QLD	CLIFTON CO-OP HOSPITAL LTD	0055230X	24 NORMAN STREET	CLIFTON	4361																																												
PUBLIC	QLD	CLONCURRY MULTI-PURPOSE HEALTH SERVICE	0050320L	1 MUSGRAVE STREET	CLONCURRY	4824																																												
PUBLIC	NSW	COBAR DISTRICT HOSPITAL	0010950B	LERIDA ROAD	COBAR	2835																																												
PUBLIC	VIC	COBRAM DISTRICT HEALTH	0030250Y	24-32 BROADWAY STREET	COBRAM	3644																																												
PRIVATE	VIC	COBURG ENDOSCOPY CENTRE	0043640K	15 MUNRO STREET	COBURG	3058																																												
PRIVATE	NSW	COFFS DAY HOSPITAL	0027610W	201 ROSE AVENUE	COFFS HARBOUR	2450																																												
PUBLIC	NSW	COFFS HARBOUR BASE HOSPITAL	0010960A	345 PACIFIC HIGHWAY	COFFS HARBOUR	2450																																												
PUBLIC	VIC	COHUNA DISTRICT HOSPITAL	0030260X	144-158 KING GEORGE STREET	COHUNA	3568																																												
PUBLIC	VIC	COLAC AREA HEALTH	0030270W	2-28 CONNOR STREET	COLAC	3250																																												
PUBLIC	NSW	COLEDALE HOSPITAL	0010970Y	638 LAWRENCE HARGRAVE DRIVE	COLEDALE	2515																																												
PUBLIC	NSW	COLLARENEBRI MULTI PURPOSE SERVICE	0010980X	WALGETT STREET	COLLARENEBRI	2833																																												
PUBLIC	WA	COLLIE DISTRICT HOSPITAL	0070170A	CNR STEERE & DEAKIN STREETS	COLLIE	6225																																												
PUBLIC	QLD	COLLINSVILLE MULTI-PURPOSE HEALTH SERVICE	0050340J	81-91 GARRICK STREET	COLLINSVILLE	4804																																												
PRIVATE	WA	CONCEPT DAY HOSPITAL	0075630T	218 NICHOLSON ROAD	SUBIACO	6008																																												
PUBLIC	NSW	CONCORD REPATRIATION HOSPITAL	0012720A	2 HOSPITAL ROAD	CONCORD	2139																																												
PUBLIC	NSW	CONDOBOLIN DISTRICT HOSPITAL	0010990W	MADLINE STREET	CONDOBOLIN	2877																																												
PUBLIC	NSW	CONDOBOLIN RETIREMENT VILLAGE	0026480X	MADLINE STREET	CONDOBOLIN	2877																																												
PUBLIC	QLD	COOKTOWN HOSPITAL	0050350H	48 HOPE STREET	COOKTOWN	4895																																												
PUBLIC	NSW	COOLAH MULTI PURPOSE SERVICE	0011000X	111-135 MARTIN STREET	COOLAH	2843																																												
PUBLIC	NSW	COOLAMON-GANMAIN MULTI PURPOSE SERVICE HOSPITAL	0011520W	DR BUCHANAN DRIVE	COOLAMON	2701																																												
PRIVATE	NSW	COOLENBERG DAY SURGERY	0027180A	60 LAKE ROAD	PORT MACQUARIE	2444																																												
PUBLIC	NSW	COOMA HOSPITAL & HEALTH SERVICE	0011010W	2 BENT STREET	COOMA	2630																																												
PUBLIC	NSW	COONABARABRAN DISTRICT HOSPITAL	0011020T	101-103 EDWARDS STREET	COONABARABRAN	2357																																												
PUBLIC	NSW	COONAMBLE HEALTH SERVICE	0011050J	150 CASTLEREAGH STREET	COONAMBLE	2829																																												
PUBLIC	NSW	COOTAMUNDRA DISTRICT HOSPITAL	0011070F	120 MACKAY STREET	COOTAMUNDRA	2590																																												
PUBLIC	NSW	COROWA HEALTH SERVICE	0011080B	74 GUY STREET	COROWA	2646																																												
PUBLIC	WA	CORRIGIN HOSPITAL	0070190X	49 KIRKWOOD STREET	CORRIGIN	6375																																												
PRIVATE	VIC	CORYMBIA DAY HOSPITAL	0043940Y	92 DAVID STREET	DANDENONG	3175																																												
PUBLIC	NSW	COWRA DISTRICT HOSPITAL	0011090A	64 LIVERPOOL STREET	COWRA	2794																																												
PRIVATE	WA	CRAIGIE DAY SURGERY	0077220W	"SUITE 2, 9 PERILYA ROAD"	CRAIGIE	6025																																												
PUBLIC	VIC	CRAIGIEBURN HEALTH SERVICE	0031980A	274-304 CRAIGIEBURN ROAD	CRAIGIEBURN	3064																																												
PUBLIC	VIC	CRANBOURNE INTEGRATED CARE CENTRE	0032030W	140-154 SLADEN STREET	CRANBOURNE	3977																																												
PRIVATE	VIC	CREMORNE PRIVATE DAY SURGERY	0044320X	"LEVEL 1, 510 CHURCH STREET"	CREMORNE	3121																																												
PUBLIC	NSW	CROOKWELL DISTRICT HOSPITAL	0011100T	17 KIALLA ROAD	CROOKWELL	2583																																												
PRIVATE	NSW	CROWS NEST DAY HOSPITAL	0027270Y	"LEVEL 1, 22-26 CLARKE STREET"	CROWS NEST	2065																																												
PUBLIC	SA	CRYSTAL BROOK CAMPUS	0060160X	EDMUND TERRACE	CRYSTAL BROOK	5523																																												
PUBLIC	NSW	CULCAIRN MULTI PURPOSE SERVICE HOSPITAL	0011120K	51-55 BALFOUR STREET	CULCAIRN	2660																																												
PUBLIC	NSW	CUMBERLAND HOSPITAL	0012880H	1-11 HAINSWORTH STREET	WESTMEAD	2145																																												
PUBLIC	SA	CUMMINS HOSPITAL	0060170W	19-21 TUMBY BAY ROAD	CUMMINS	5631																																												
PUBLIC	WA	CUNDERDIN HEALTH SERVICE	0070220H	55 LUNDY AVENUE 	CUNDERDIN	6407																																												
PUBLIC	QLD	CUNNAMULLA HOSPITAL	0050390Y	56 WICKS STREET	CUNNAMULLA	4490																																												
PRIVATE	QLD	CURRUMBIN CLINIC	0055760T	37 BILINGA STREET	CURRUMBIN	4223																																												
PUBLIC	QLD	DALBY HOSPITAL HEALTH SERVICE	0050400L	HOSPITAL ROAD	DALBY	4405																																												
PUBLIC	WA	DALWALLINU HOSPITAL	0070230F	MYERS STREET	DALWALLINU	6609																																												
PUBLIC	VIC	DANDENONG HOSPITAL	0030310B	105-135 DAVID STREET	DANDENONG	3175																																												
PRIVATE	NT	DARWIN DAY SURGERY	0098010J	LEVEL 1/7B GSELL STREET	WANGURI	0810																																												
PRIVATE	NT	DARWIN PRIVATE HOSPITAL	0097660F	ROCKLANDS DRIVE	TIWI	0810																																												
PUBLIC	NSW	DAVID BERRY HOSPITAL	0011130J	85 TANNERY ROAD	BERRY	2535																																												
PRIVATE	NSW	DEE WHY ENDOSCOPY UNIT	0666401J	LEVEL 4 SUITE 4402 DEE WHY GRAND 834 PITTWATER ROAD	DEE WHY	2099																																												
PUBLIC	NSW	DELEGATE MULTI PURPOSE SERVICE	0011140H	15 CRAIGIE STREET	DELEGATE	2633																																												
PRIVATE	NSW	DELMAR PRIVATE HOSPITAL	0015380B	58 QUIRK STREET	DEE WHY	2099																																												
PRIVATE	VIC	DELMONT PRIVATE HOSPITAL	0036210B	298 WARRIGAL ROAD	GLEN IRIS	3146																																												
PUBLIC	TAS	DELORAINE DISTRICT HOSPITAL AND COMMUNITY HEALTH SERVICES	0077630Y	EAST BARRACK STREET	DELORAINE	7304																																												
PUBLIC	NSW	DENILIQUIN HOSPITAL	0011150F	411 CHARLOTTE STREET	DENILIQUIN	2710																																												
PUBLIC	NSW	DENMAN MULTI PURPOSE SERVICE	0010810T	51-53 OGILVIE STREET	DENMAN	2328																																												
PUBLIC	WA	DENMARK HOSPITAL	0070240B	STRICKLAND STREET	DENMARK	6333																																												
PUBLIC	VIC	DENTAL HEALTH SERVICES VICTORIA	0031530F	720 SWANSTON STREET	CARLTON	3053																																												
PUBLIC	WA	DERBY HOSPITAL	0070250A	CLARENDON STREET	DERBY	6728																																												
PRIVATE	TAS	DEVONPORT EYE HOSPITAL	0087040F	62 OLDAKER STREET	DEVONPORT	7310																																												
PRIVATE	SA	DEXTRA SURGICAL	0067100X	83 KENSINGTON ROAD	NORWOOD	5067																																												
PRIVATE	NSW	DIAGNOSTIC ENDOSCOPY CENTRE	0657131A	601/438 VICTORIA STREET	DARLINGHURST	2010																																												
PRIVATE	VIC	DIAMOND VALLEY RENAL CARE CENTRE	0035140J	15 GRIMSHAW STREET	GREENSBOROUGH	3088																																												
PUBLIC	QLD	DIRRANBANDI HOSPITAL	0050410K	CNR JANE & COWILDI STREETS	DIRRANBANDI	4486																																												
PRIVATE	VIC	DONCASTER PRIVATE HOSPITAL	0044310Y	720 DONCASTER ROAD	DONCASTER	3108																																												
PUBLIC	WA	DONGARA MULTI-PURPOSE HEALTH CENTRE	0071570Y	48 BLENHEIM ROAD	DONGARA	6525																																												
PUBLIC	WA	DONNYBROOK HOSPITAL	0070260Y	BENTLEY STREET	DONNYBROOK	6239																																												
PRIVATE	VIC	DONVALE REHABILITATION HOSPITAL	0036190L	1119-1121 DONCASTER ROAD	DONVALE	3111																																												
PUBLIC	QLD	DOOMADGEE HOSPITAL	0050000H	SHARPE STREET	DOOMADGEE	4830																																												
PUBLIC	NSW	DORRIGO MULTI PURPOSE SERVICE	0011160B	14 BEECH STREET	DORRIGO	2453																																												
PRIVATE	VIC	DORSET REHABILITATION CENTRE	0036220A	146 DERBY STREET	PASCOE VALE	3044																																												
PRIVATE	NSW	DOUBLE BAY DAY HOSPITAL	0027480K	"LEVEL 2, 451 NEW SOUTH HEAD RD"	DOUBLE BAY	2028																																												
PRIVATE	VIC	DR SCOPE	0044110H	493 BALLARAT ROAD	SUNSHINE	3020																																												
PUBLIC	NSW	DUBBO BASE HOSPITAL	0011170A	MYALL STREET	DUBBO	2830																																												
PRIVATE	NSW	DUBBO PRIVATE HOSPITAL	0017060B	RIVER STREET	DUBBO	2830																																												
PRIVATE	NSW	DUDLEY PRIVATE HOSPITAL	0015400T	261 MARCH STREET	ORANGE	2800																																												
PUBLIC	WA	DUMBLEYUNG MEMORIAL HOSPITAL	0070270X	186 MCINTYRE STREET	DUMBLEYUNG	6350																																												
PUBLIC	NSW	DUNEDOO MULTI PURPOSE SERVICE	0011180Y	70 DIGILAH STREET	DUNEDOO	2844																																												
PUBLIC	NSW	DUNGOG COMMUNITY HOSPITAL	0011190X	58 HOSPITAL ROAD	DUNGOG	2420																																												
PUBLIC	VIC	DUNMUNKLE HEALTH SERVICES	0031810X	89 CROMIE STREET	RUPANYUP	3388																																												
PUBLIC	QLD	DYSART HOSPITAL	0051660H	QUEEN ELIZABETH DRIVE	DYSART	4745																																												
PRIVATE	QLD	EAST BRISBANE DAY HOSPITAL	0057520T	"GROUND FLOOR, 45 WELLINGTON ROAD"	EAST BRISBANE	4169																																												
PUBLIC	VIC	EAST GRAMPIANS HEALTH SERVICE - ARARAT	0031890B	LOT 5B GIRDLESTONE STREET	ARARAT	3377																																												
PUBLIC	VIC	EAST GRAMPIANS HEALTH SERVICE - WILLAURA CAMPUS	0031890B	DELACOMBE WAY	WILLAURA	3379																																												
PRIVATE	VIC	EAST MELBOURNE SPECIALIST DAY HOSPITAL	0044010K	"GROUND FLOOR, 23 CLARENDON ST"	EAST MELBOURNE	3002																																												
PRIVATE	VIC	EAST SIDE RECOVERY	0037070L	272B DORSET ROAD	BORONIA	3155																																												
PRIVATE	NSW	EAST SYDNEY PRIVATE HOSPITAL	0017500W	75-85 CROWN STREET	EAST SYDNEY	2010																																												
PUBLIC	VIC	EAST WIMMERA HEALTH SERVICE - BIRCHIP	0031950H	26 DUNCAN STREET	BIRCHIP	3483																																												
PUBLIC	VIC	EAST WIMMERA HEALTH SERVICE - CHARLTON	0031940J	4 MENZIES STREET	CHARLTON	3525																																												
PUBLIC	VIC	EAST WIMMERA HEALTH SERVICE - DONALD	0030350W	7 AITKEN AVENUE	DONALD	3480																																												
PUBLIC	VIC	EAST WIMMERA HEALTH SERVICE - ST ARNAUD	0034770J	52 NORTH WESTERN ROAD	ST ARNAUD	3478																																												
PUBLIC	VIC	EAST WIMMERA HEALTH SERVICE - WYCHEPROOF	0031420K	19 GRANDVIEW STREET	WYCHEPROOF	3527																																												
PRIVATE	QLD	EASTERN ENDOSCOPY CENTRE	0057060F	120 BIRKDALE ROAD	BIRKDALE	4159																																												
PUBLIC	SA	EASTERN EYRE HEALTH AND AGED CARE - CLEVE CAMPUS	0060140A	NORTH TERRACE	CLEVE	5640																																												
PUBLIC	SA	EASTERN EYRE HEALTH AND AGED CARE - COWELL CAMPUS	0060150Y	17 SOUTH TERRACE	COWELL	5602																																												
PUBLIC	SA	EASTERN EYRE HEALTH AND AGED CARE - KIMBA CAMPUS	0060260T	15 MARTIN TERRACE	KIMBA	5641																																												
PUBLIC	VIC	EASTERN HEALTH BLACKBURN PUBLIC SURGICAL CENTRE 	0032200T	188 - 198 CANTERBURY ROAD	BLACKBURN	3130																																												
PRIVATE	NSW	EASTERN HEART CLINIC	0657471B	"LEVEL 3, CAMPUS CENTRE BUILDING, PRINCE OF WALES CAMPUS, BARKER STREET"	RANDWICK	2031																																												
PRIVATE	NSW	EASTERN SUBURBS PRIVATE HOSPITAL	0015860J	8 CHAPEL STREET	RANDWICK	2031																																												
PRIVATE	VIC	EASTSIDE ENDOSCOPY CENTRE	0043610W	33 WANTIRNA ROAD	RINGWOOD	3134																																												
PUBLIC	VIC	ECHUCA REGIONAL HEALTH	0030380K	9-27 FRANCIS STREET	ECHUCA	3564																																												
PRIVATE	QLD	EDEN PRIVATE HOSPITAL	0056010A	50 MAPLE STREET	COOROY	4563																																												
PUBLIC	VIC	EDENHOPE AND DISTRICT MEMORIAL HOSPITAL	0030390J	128-134 ELIZABETH STREET	EDENHOPE	3318																																												
PUBLIC	QLD	EIDSVOLD MULTIPURPOSE HEALTH SERVICE	0050420J	CRACOW ROAD	EIDSVOLD	4627																																												
PUBLIC	SA	ELLISTON HOSPITAL	0060180T	4-6 MEMORIAL DRIVE	ELLISTON	5670																																												
PUBLIC	QLD	EMERALD HOSPITAL	0050430H	69 HOSPITAL ROAD	EMERALD	4720																																												
PUBLIC	NSW	EMMAVILLE - VEGETABLE CREEK RESIDENTIAL AGED CARE	0012240W	13-33 GLEN INNES ROAD	EMMAVILLE	2371																																												
PRIVATE	NSW	EPPING SURGERY CENTRE	0027190Y	34 BORONIA AVENUE	EPPING	2121																																												
PRIVATE	VIC	EPWORTH CAMBERWELL	0036310Y	888 TOORAK ROAD	CAMBERWELL	3124																																												
PRIVATE	VIC	EPWORTH EASTERN	0036850T	"1 ARNOLD STREET, BOX HILL (MAIN CAMPUS)  & 116-118 THAMES  STREET, BOX HILL NORTH (EKERA CAMPUS)"	BOX HILL	3128																																												
PRIVATE	VIC	EPWORTH FREEMASONS	0035290W	109 ALBERT STREET & 320 VICTORIA PARADE	EAST MELBOURNE	3002																																												
PRIVATE	VIC	EPWORTH GEELONG	0036950K	1 EPWORTH PLACE	WAURN PONDS	3216																																												
PRIVATE	VIC	EPWORTH HAWTHORN	0036900Y	46-52 BURWOOD ROAD	HAWTHORN	3122																																												
PRIVATE	VIC	EPWORTH REHABILITATION BRIGHTON	0036270L	85-91 WILSON STREET	BRIGHTON	3186																																												
PRIVATE	VIC	EPWORTH RICHMOND	0035260A	89 BRIDGE ROAD	RICHMOND	3121																																												
PUBLIC	QLD	ESK HOSPITAL	0050440F	30 HIGHLAND STREET	ESK	4312																																												
PUBLIC	WA	ESPERANCE HOSPITAL	0070280W	HICKS STREET	ESPERANCE	6450																																												
PUBLIC	TAS	ESPERANCE MULTI PURPOSE CENTRE	0085160L	15 CHAPMAN AVENUE	DOVER	7117																																												
PRIVATE	VIC	ESSENDON DAY PROCEDURE CENTRE	0043700T	"LEVEL 1, 665 MOUNT ALEXANDER ROAD"	MOONEE PONDS	3039																																												
PRIVATE	VIC	ESSENDON PRIVATE CLINIC	0036140A	35 ROSEHILL ROAD	ESSENDON WEST	3040																																												
PRIVATE	WA	ESUS CENTRE	0075770B	588 HAY STREET 	SUBIACO	6008																																												
PUBLIC	SA	EUDUNDA HOSPITAL	0060190L	40 WARD STREET	EUDUNDA	5374																																												
PUBLIC	NSW	EUGOWRA MEMORIAL MULTI PURPOSE SERVICE	0011200K	COOPER STREET	EUGOWRA	2806																																												
PRIVATE	VIC	EUROA HEALTH	0035270Y	36 KENNEDY STREET	EUROA	3666																																												
PRIVATE	NSW	EXCEL ENDOSCOPY CENTRE	0658051T	490 CANTERBURY ROAD	CAMPSIE	2194																																												
PUBLIC	WA	EXMOUTH HOSPITAL	0071100H	LYONS STREET	EXMOUTH	6707																																												
PRIVATE	QLD	EYE-TECH DAY SURGERIES	0899091B	"LEVELS 3 & 5, ST ANDREW'S PLACE, 33 NORTH STREET"	SPRING HILL	4000																																												
PRIVATE	QLD	EYE-TECH DAY SURGERIES SOUTHSIDE	0057260X	22-26 SANDERS STREET	UPPER MOUNT GRAVATT	4122																																												
PUBLIC	NSW	FAIRFIELD HOSPITAL	0010110Y	340 PRAIRIE VALE ROAD	PRAIRIEWOOD	2176																																												
PRIVATE	NSW	FAMILY PLANNING NSW	0027660H	8 HOLKER STREET	NEWINGTON	2127																																												
PRIVATE	QLD	FAR NORTH DAY HOSPITAL	0056090H	"GROUND LEVELS 2,3 & 4, 58-60 McLEOD STREET"	CAIRNS	4870																																												
PUBLIC	SA	FAR NORTH HEALTH SERVICES	0060740Y	LOT 89 HOSPITAL ROAD	COOBER PEDY	5723																																												
PRIVATE	VIC	FERTILITY CONTROL CLINIC	0043510Y	116-118 WELLINGTON PARADE	EAST MELBOURNE	3002																																												
PRIVATE	NSW	FIGTREE PRIVATE HOSPITAL	0016950Y	1 SUTTOR PLACE	FIGTREE	2525																																												
PUBLIC	NSW	FINLEY HOSPITAL & COMMUNITY HEALTH CARE	0011210J	20-22 DAWE STREET	FINLEY	2713																																												
PUBLIC	WA	FIONA STANLEY HOSPITAL	0071610H	"102-118 MURDOCH DRIVE (1 HONOUR WAY, COCKBURN CENTRAL WA 6164)"	MURDOCH	6150																																												
PRIVATE	QLD	FITZROY COMMUNITY HOSPICE	0056300L	38 AGNES STREET	THE RANGE	4700																																												
PUBLIC	WA	FITZROY CROSSING HOSPITAL	0070290T	FALLON ROAD	FITZROY CROSSING	6765																																												
PUBLIC	TAS	FLINDERS ISLAND MULTI PURPOSE CENTRE	0080270B	4 JAMES STREET	WHITEMARK	7255																																												
PUBLIC	SA	FLINDERS MEDICAL CENTRE	0060760W	"FLINDERS DRIVE & 216 DAWS ROAD, DAW PARK 5041 & GLENSIDE CAMPUS EUCALYPTUS LANE "	BEDFORD PARK	5042																																												
PRIVATE	SA	FLINDERS PRIVATE HOSPITAL	0065930X	1 FLINDERS DRIVE	BEDFORD PARK	5042																																												
PRIVATE	QLD	FMC DIALYSIS CLINIC NORTH LAKES	0057500X	"T301-T305, SPECIALIST MEDICAL CENTRE, 6 NORTH LAKES DRIVE"	NORTH LAKES	4509																																												
PRIVATE	NSW	FOCUS EYE CENTRE	0657031F	2 MIDDLE STREET	KINGSFORD	2032																																												
PRIVATE	VIC	FOOTSCRAY DAY SURGERY	0656351X	89 PAISLEY STREET	FOOTSCRAY	3011																																												
PUBLIC	NSW	FORBES DISTRICT HOSPITAL	0011220H	12-14 ELGIN STREET	FORBES	2871																																												
PRIVATE	VIC	FOREST HILL DIALYSIS CLINIC	0043630L	"SHOPS 26 & 27 FOREST HILL CHASE, 69 MAHONEYS ROAD"	FOREST HILL	3131																																												
PRIVATE	NSW	FOREST ROAD DAY SURGERY	0657381F	99A FOREST ROAD	HURSTVILLE	2220																																												
PRIVATE	NSW	FORSTER PRIVATE HOSPITAL	0015250L	5A SOUTH STREET	FORSTER	2428																																												
PRIVATE	VIC	FRANCES PERRY HOUSE	0036740Y	"LEVELS 6 AND 7, CORNER GRATTAN STREET AND FLEMINGTON ROAD"	PARKVILLE	3052																																												
PRIVATE	NSW	FRANCIS STREET OPHTHALMIC DAY PROCEDURE CENTRE	0834411H	112 FRANCIS STREET	RICHMOND	2753																																												
PUBLIC	VIC	FRANKSTON HOSPITAL	0030460K	2 HASTINGS ROAD	FRANKSTON	3199																																												
PUBLIC	VIC	FRANKSTON PUBLIC SURGICAL CENTRE	0032190A	5 SUSONO WAY	FRANKSTON	3199																																												
PRIVATE	QLD	FRASER COAST HOSPICE	0056250H	222 URRAWEEN ROAD	URRAWEEN	4655																																												
PUBLIC	WA	FREMANTLE HOSPITAL AND HEALTH SERVICE	0070010W	ALMA STREET	FREMANTLE	6160																																												
PRIVATE	NSW	FRESENIUS LIVERPOOL PRIVATE DIALYSIS CLINIC	0027490J	"LEVEL 2, 26 CASTLEREAGH STREET"	LIVERPOOL	2170																																												
PRIVATE	QLD	FRIENDLY SOCIETY PRIVATE HOSPITAL	0055190K	19-23 BINGERA STREET	BUNDABERG	4670																																												
PRIVATE	NSW	GATEWAY DAY HOSPITAL	0027590F	"LEVEL 18, GATEWAY TOWER, 1 MACQUARIE PLACE"	SYDNEY	2000																																												
PUBLIC	QLD	GATTON HOSPITAL	0051530W	97-103 WILLIAM STREET	GATTON	4343																																												
PUBLIC	SA	GAWLER HEALTH SERVICE	0060200F	21 HUTCHINSON ROAD	GAWLER EAST	5118																																												
PUBLIC	QLD	GAYNDAH HOSPITAL	0050460A	69 WARTON STREET	GAYNDAH	4625																																												
PRIVATE	VIC	GEELONG DAY SURGERY	0044330W	21-29 PRINCESS HIGHWAY 	NORLANE	3214																																												
PRIVATE	ACT	GENEA CANBERRA	0095110H	SUITE 17B AND UNIT 28/2 KING STREET	DEAKIN	2600																																												
PRIVATE	NSW	GENEA DAY SURGERY	0747341X	"LEVEL 4, 321 KENT STREET"	SYDNEY	2000																																												
PRIVATE	NSW	GENEA LIVERPOOL	0026990X	173-175 BIGGE STREET	LIVERPOOL	2170																																												
PRIVATE	NSW	GENEA NORTHWEST	0017340W	"LEVEL 1, SUITE 101, 10 NORBRICK DRIVE"	BELLA VISTA	2153																																												
PRIVATE	WA	GENESIS CARE	0075680F	57 SHENTON AVENUE	JOONDALUP	6027																																												
PRIVATE	NSW	GENESIS CARE RADIATION ONCOLOGY CENTRE ALBURY WODONGA	0027500A	CORNER BORELLA RD AND EAST ST	ALBURY	2640																																												
PRIVATE	VIC	GENESIS CARE RADIATION ONCOLOGY CENTRE AT CABRINI	0044150Y	183 WATTLETREE ROAD	MALVERN	3144																																												
PRIVATE	VIC	GENESIS CARE RADIATION ONCOLOGY CENTRE ST VINCENT'S HOSPITAL MELBOURNE	0044120F	41 VICTORIA PARADE	FITZROY	3065																																												
PRIVATE 	NSW	GENESISCARE CAMPBELLTOWN	0017730B	38 CAMDEN ROAD 	CAMPBELLTOWN 	2560																																												
PRIVATE	NSW	GENESISCARE FRENCHS FOREST	0017350T	49 FRENCHS FOREST EAST	FRENCHS FOREST	2086																																												
PRIVATE	NSW	GENESISCARE HURSTVILLE	0027570J	"LEVEL B2 AND 6, 31 DORA STREET"	HURSTVILLE	2220																																												
PRIVATE	NSW	GENESISCARE KINGSWOOD	0017610K 	29-33 DERBY STREET AND 38 SOMERSET STREET 	KINGSWOOD	2747																																												
PRIVATE	NSW	GENESISCARE MAITLAND	0027630L	30 METFORD ROAD	EAST MAITLAND	2323																																												
PRIVATE	WA	GENESISCARE MANDURAH	0075740J	UNIT 3/35 MINILYA PARKWAY 	MANDURAH	6210																																												
PRIVATE	NSW	GENESISCARE NORTH SHORE	0027320F	7 WESTBOURNE STREET	ST LEONARDS	2065																																												
